experiment_id,final_best_fit_mean,final_best_fit_std,final_avg_velocity_mean,final_avg_velocity_std,final_diversity_mean,final_diversity_std,final_num_improving_mean,final_num_improving_std,runtime_seconds_mean,runtime_seconds_std,iterations_executed_mean,iterations_executed_std,w_mean,w_std,c1_mean,c1_std,c2_mean,c2_std,vmax_mean,vmax_std,swarm_size_mean,swarm_size_std,initializer_vmax_fraction_mean,initializer_vmax_fraction_std
A1,1.0753028556623576,0.45929091512430276,0.18923979698319246,0.015340127106131817,2.018611354715499,0.17436639763227274,0.5,0.820008410385801,0.04283613333333334,0.0027734125591026854,200.0,0.0,0.2,0.0,2.5,0.0,0.3,0.0,0.2,0.0,20.0,0.0,0.5,0.0
A2,0.1989918156690872,0.4047872523656154,0.0015807045628205459,0.005381060097312085,0.0023884335516004733,0.010605908582381451,0.8666666666666667,1.3060425438846859,0.043037299999999994,0.0023916640599929728,200.0,0.0,0.7,0.0,1.4,0.0,1.4,0.0,0.5,0.0,20.0,0.0,1.0,0.0
A3,0.202036334745188,0.19783535271332492,1.637042896319642,0.09103258195727214,1.5991207625964712,0.13834988291414235,0.06666666666666667,0.2537081317024624,0.04281463333333334,0.002223885857951214,200.0,0.0,1.2,0.0,1.4,0.0,1.4,0.0,1.5,0.0,20.0,0.0,1.0,0.0
B1,0.5969752696656734,0.9635856109472138,6.5312745478478e-05,0.0001910621915266209,0.00010320136993386786,0.0003245053146266681,0.5,0.7310832774866963,0.02276023333333333,0.001593756410309398,200.0,0.0,0.7,0.0,1.4,0.0,1.4,0.0,0.5,0.0,10.0,0.0,1.0,0.0
B2,0.1989918156690872,0.4047872523656154,0.0015807045628205459,0.0053810600973120855,0.0023884335516004733,0.010605908582381451,0.8666666666666667,1.3060425438846859,0.04361863333333334,0.004557587659575256,200.0,0.0,0.7,0.0,1.4,0.0,1.4,0.0,0.5,0.0,20.0,0.0,1.0,0.0
B3,0.0,0.0,0.0021224799002480268,0.004454640583968723,0.004023488586444437,0.008557642752023205,1.6,1.4044264997156128,0.08416226666666667,0.005646372225221,200.0,0.0,0.7,0.0,1.4,0.0,1.4,0.0,0.5,0.0,40.0,0.0,1.0,0.0
C1,0.1989918156690872,0.40478725236561536,0.0015807045628205459,0.0053810600973120855,0.0023884335516004733,0.010605908582381453,0.8666666666666667,1.3060425438846857,0.04389816666666667,0.004699963507439646,200.0,0.0,0.7,0.0,1.4,0.0,1.4,0.0,0.5,0.0,20.0,0.0,1.0,0.0
C2,0.0,0.0,3.1470168861862005e-06,1.484325831089316e-05,2.477507800302398e-06,9.144023102957585e-06,0.1,0.30512857662936466,0.04376796666666667,0.004162443442575968,200.0,0.0,0.7,0.0,1.4,0.0,1.4,0.0,0.5,0.0,20.0,0.0,0.0,0.0
C3,10.77869874330361,3.377423890925102,5.047772007372882e-06,2.1687262407927484e-05,3.335103308534384e-06,1.5370276070197007e-05,0.9666666666666667,1.6709141279516748,0.043531733333333336,0.0033234364634270926,200.0,0.0,0.7,0.0,1.4,0.0,1.4,0.0,0.5,0.0,20.0,0.0,0.0,0.0
D1,0.06657077060904595,0.2523656119469586,0.23706699552748897,0.03848553414245509,0.7146066211493413,0.10666242111758809,1.3333333333333333,1.0613372610104645,0.043586266666666665,0.004323749920464023,200.0,0.0,0.7,0.0,2.5,0.0,0.5,0.0,0.5,0.0,20.0,0.0,1.0,0.0
D2,0.1989918156690872,0.4047872523656154,0.0015807045628205459,0.0053810600973120855,0.0023884335516004733,0.010605908582381451,0.8666666666666667,1.3060425438846859,0.043803166666666664,0.004069624697458098,200.0,0.0,0.7,0.0,1.4,0.0,1.4,0.0,0.5,0.0,20.0,0.0,1.0,0.0
D3,0.6964713399653032,0.6986734329569382,3.786960900919881e-05,0.00010255718023114468,2.1729107378890073e-05,3.698517288278194e-05,1.5666666666666667,1.222866427231762,0.04393396666666667,0.004272404261216904,200.0,0.0,0.7,0.0,0.5,0.0,2.5,0.0,0.5,0.0,20.0,0.0,1.0,0.0
D4,2.315992467377855,1.6151769551353983,4.504911413350622e-08,1.8920071440138215e-07,3.904208515334771,0.43289609855961303,0.16666666666666666,0.3790490217894517,0.04341083333333333,0.00321820766226657,200.0,0.0,0.7,0.0,2.0,0.0,0.0,0.0,0.5,0.0,20.0,0.0,1.0,0.0
